itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1156,6.554,1.327,6.954,10.657,1.062,9.44,2.615,0.326,1.145,0.897,0.294,1.32,0.201,0.984,0.159,19.831,18.819,3.942,1.312,0.459,2.426,9.868,1.678,0.991,0.424
1157,8.026,1.332,5.711,11.953,1.029,7.93,2.154,0.328,1.171,0.881,0.338,1.262,0.202,0.96,0.156,21.479,16.634,4.123,1.443,0.496,2.922,8.787,1.864,1.135,0.456
1158,9.797,1.355,5.515,13.326,1.06,7.436,1.644,0.38,1.333,0.927,0.391,1.253,0.21,0.944,0.161,22.512,15.013,3.89,1.698,0.514,4.361,7.908,2.102,1.35,0.473
1159,11.217,1.347,6.073,14.342,1.094,7.924,1.215,0.476,1.602,0.98,0.437,1.218,0.216,0.92,0.177,22.633,14.189,3.315,2.019,0.513,6.498,7.301,2.218,1.525,0.466
1160,11.83,1.28,6.827,14.684,1.089,8.867,0.946,0.586,1.87,0.997,0.467,1.131,0.221,0.892,0.2,21.51,13.99,2.682,2.313,0.495,8.825,6.994,2.171,1.592,0.434
1161,11.481,1.15,7.3,14.208,1.029,9.573,0.859,0.677,2.02,0.955,0.474,0.987,0.229,0.886,0.224,19.027,13.872,2.243,2.501,0.468,10.698,6.867,1.988,1.534,0.386
1162,10.344,0.985,7.268,13.017,0.927,9.552,0.918,0.717,2.008,0.885,0.464,0.823,0.241,0.925,0.245,15.576,13.367,2.093,2.543,0.436,11.633,6.704,1.747,1.385,0.337
1163,8.956,0.846,6.928,11.586,0.834,8.85,1.076,0.705,1.825,0.869,0.445,0.773,0.254,1.031,0.259,11.908,12.358,2.246,2.459,0.401,11.476,6.432,1.695,1.254,0.299
1164,7.897,0.792,6.709,10.436,0.804,7.96,1.291,0.66,1.518,0.985,0.428,0.969,0.265,1.195,0.267,9.107,11.142,2.667,2.34,0.369,10.505,6.203,2.116,1.277,0.279
1165,7.477,0.853,7.063,9.812,0.866,7.479,1.534,0.612,1.181,1.265,0.415,1.454,0.27,1.373,0.269,7.889,10.091,3.275,2.286,0.344,9.414,6.246,3.141,1.519,0.276
1166,7.66,1.013,8.22,9.683,1.015,7.748,1.757,0.581,0.92,1.669,0.406,2.147,0.267,1.513,0.264,8.12,9.407,3.955,2.354,0.33,8.789,6.67,4.594,1.924,0.283
1167,8.067,1.212,10.047,9.776,1.207,8.79,1.945,0.571,0.811,2.088,0.398,2.866,0.26,1.578,0.252,9.052,9.039,4.589,2.515,0.329,8.849,7.327,6.032,2.334,0.293
1168,8.225,1.377,12.039,9.716,1.382,10.155,2.104,0.575,0.904,2.383,0.387,3.386,0.251,1.551,0.236,9.89,8.798,4.974,2.656,0.343,9.236,7.83,6.922,2.572,0.298
1169,7.834,1.457,13.647,9.235,1.488,11.348,2.232,0.577,1.215,2.435,0.372,3.538,0.245,1.433,0.219,10.196,8.614,5.004,2.661,0.37,9.36,7.826,6.918,2.535,0.299
1170,6.853,1.429,14.338,8.289,1.496,11.961,2.312,0.566,1.709,2.217,0.35,3.275,0.247,1.251,0.204,9.827,8.502,4.693,2.478,0.404,8.784,7.245,6.02,2.232,0.301
1171,5.568,1.307,13.915,7.173,1.409,11.901,2.34,0.537,2.296,1.799,0.322,2.698,0.263,1.043,0.195,8.962,8.541,4.178,2.158,0.437,7.454,6.345,4.572,1.764,0.308
1172,4.331,1.145,12.524,6.235,1.276,11.307,2.343,0.502,2.832,1.375,0.298,2.049,0.297,0.866,0.194,7.98,8.834,3.59,1.813,0.465,5.808,5.597,3.147,1.312,0.325
