itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
742,49.644,0.8,213.547,20.033,1.525,95.445,1.292,2.165,10.595,7.249,1.409,3.426,1.165,0.636,0.984,3.04,2.343,1.334,0.874,0.583,3.649,3.443,1.131,1.631,1.107
743,38.36,0.753,168.98,15.721,1.383,76.673,1.115,1.959,10.37,5.597,1.423,2.572,1.292,0.593,0.904,2.935,2.453,1.415,0.81,0.585,3.846,3.552,1.075,1.506,1.055
744,25.1,0.722,112.209,10.748,1.21,52.095,0.927,1.661,9.747,3.774,1.373,1.777,1.377,0.6,0.814,2.873,2.433,1.37,0.786,0.587,4.137,3.578,1.064,1.379,1.018
745,13.67,0.711,61.945,6.563,1.03,30.314,0.791,1.331,9.058,2.288,1.262,1.202,1.397,0.642,0.736,2.927,2.298,1.208,0.789,0.586,4.549,3.644,1.087,1.244,1.021
746,6.294,0.716,27.68,3.968,0.875,14.915,0.729,1.033,8.826,1.382,1.114,0.898,1.345,0.725,0.68,3.131,2.086,1.009,0.801,0.572,5.2,3.805,1.135,1.125,1.072
747,3.024,0.737,11.699,2.908,0.789,7.783,0.715,0.819,9.145,1.004,0.96,0.802,1.234,0.87,0.646,3.691,1.846,0.856,0.809,0.538,5.951,4.014,1.174,1.068,1.153
748,2.311,0.768,7.245,2.724,0.818,5.449,0.704,0.728,9.484,0.914,0.833,0.795,1.095,1.082,0.627,4.228,1.626,0.79,0.812,0.488,6.566,4.164,1.167,1.127,1.234
749,2.398,0.8,6.973,2.726,0.987,5.366,0.678,0.781,9.758,0.901,0.752,0.804,0.967,1.323,0.623,4.908,1.481,0.795,0.822,0.432,6.892,4.144,1.095,1.33,1.291
750,2.566,0.825,6.814,2.705,1.272,5.413,0.659,0.962,9.66,0.908,0.724,0.834,0.88,1.525,0.629,5.184,1.45,0.839,0.84,0.387,6.756,3.928,0.992,1.649,1.316
751,2.719,0.838,6.26,2.679,1.599,5.45,0.677,1.22,9.584,0.959,0.741,0.932,0.835,1.63,0.64,5.293,1.526,0.895,0.855,0.36,6.292,3.592,0.929,2.011,1.319
752,2.744,0.83,5.289,2.64,1.862,5.038,0.709,1.479,8.963,1.056,0.781,1.118,0.816,1.624,0.654,4.813,1.649,0.956,0.845,0.351,5.397,3.234,0.989,2.316,1.316
753,2.569,0.798,4.277,2.549,1.967,4.56,0.737,1.653,8.237,1.148,0.822,1.338,0.796,1.532,0.675,4.312,1.765,1.013,0.793,0.35,4.492,2.913,1.183,2.473,1.321
754,2.196,0.751,3.246,2.356,1.881,3.738,0.755,1.688,7.108,1.173,0.848,1.507,0.76,1.404,0.711,3.608,1.83,1.061,0.704,0.353,3.512,2.604,1.472,2.434,1.337
755,1.701,0.706,2.504,2.101,1.644,2.94,0.778,1.573,6.153,1.098,0.859,1.574,0.715,1.284,0.77,3.223,1.836,1.095,0.604,0.364,2.837,2.261,1.779,2.209,1.352
756,1.214,0.701,1.957,1.914,1.359,2.246,0.826,1.356,5.081,0.967,0.861,1.56,0.683,1.195,0.855,2.908,1.792,1.109,0.527,0.397,2.341,1.883,2.053,1.875,1.35
757,0.876,0.786,1.63,1.979,1.145,1.915,0.918,1.118,4.135,0.907,0.864,1.539,0.681,1.142,0.952,2.81,1.741,1.11,0.515,0.46,2.192,1.552,2.291,1.543,1.322
758,0.77,0.992,1.443,2.401,1.079,2.102,1.041,0.944,3.321,1.035,0.874,1.581,0.711,1.118,1.041,2.832,1.709,1.113,0.592,0.555,2.325,1.394,2.496,1.319,1.271
759,0.866,1.307,1.408,3.101,1.166,2.716,1.161,0.878,2.803,1.369,0.897,1.695,0.762,1.105,1.097,3.06,1.7,1.118,0.746,0.667,2.746,1.476,2.656,1.256,1.208
