itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
906,18.538,0.824,11.699,27.468,1.026,20.289,1.566,0.267,2.007,3.057,0.409,3.057,0.423,0.42,0.272,7.771,6.272,2.161,1.761,0.407,5.531,9.432,2.266,0.762,0.302
907,15.965,0.843,10.148,25.949,1.298,18.413,1.444,0.244,1.502,3.961,0.359,3.532,0.378,0.587,0.267,7.106,7.604,2.483,1.607,0.428,4.807,10.211,2.842,0.913,0.286
908,13.308,0.999,8.218,22.879,1.758,15.851,1.426,0.249,1.132,5.103,0.322,4.311,0.342,0.793,0.262,6.852,8.812,2.948,1.4,0.452,4.541,11.247,3.886,1.228,0.289
909,10.883,1.218,6.323,18.769,2.237,13.02,1.45,0.271,0.883,6.12,0.303,5.049,0.324,0.971,0.253,7.26,9.719,3.404,1.225,0.472,4.867,12.037,5.032,1.595,0.3
910,8.863,1.401,5.028,14.379,2.541,10.829,1.442,0.295,0.761,6.619,0.3,5.378,0.326,1.067,0.241,8.548,10.668,3.645,1.171,0.482,5.703,12.103,5.824,1.861,0.306
911,7.45,1.476,4.584,10.603,2.552,9.777,1.371,0.307,0.763,6.412,0.31,5.124,0.347,1.06,0.226,10.689,12.308,3.527,1.288,0.478,6.768,11.225,5.955,1.923,0.302
912,6.64,1.426,4.848,8.013,2.273,9.654,1.237,0.302,0.872,5.529,0.326,4.364,0.379,0.966,0.208,13.303,15.039,3.115,1.55,0.455,7.97,9.54,5.41,1.769,0.288
913,6.303,1.297,5.493,6.771,1.823,9.771,1.066,0.286,1.033,4.325,0.342,3.437,0.413,0.83,0.193,15.586,18.666,2.669,1.857,0.413,9.339,7.519,4.515,1.48,0.275
914,6.409,1.18,6.197,6.914,1.383,9.562,0.9,0.272,1.212,3.277,0.357,2.719,0.441,0.706,0.183,16.68,22.427,2.457,2.101,0.36,11.043,5.946,3.719,1.19,0.278
915,6.895,1.147,6.827,8.244,1.106,8.935,0.763,0.276,1.415,2.702,0.368,2.446,0.457,0.64,0.176,16.125,25.253,2.671,2.188,0.309,12.932,5.408,3.329,1.021,0.305
