itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
47,4.512,3.939,5.337,7.569,4.465,15.809,4.14,3.8,15.266,4.29,14.021,5.467,12.425,4.17,13.054,6.858,5.816,2.603,3.111,9.736,4.439,5.111,1.631,2.093,13.697
48,4.237,3.911,4.12,7.713,5.122,16.206,4.792,4.333,21.048,3.596,13.961,5.419,12.523,4.237,13.411,5.82,4.256,2.401,3.316,9.974,3.948,5.547,2.1,2.145,13.708
49,4.018,3.826,3.374,8.015,5.407,15.181,6.277,4.995,25.819,3.159,13.833,5.626,12.614,4.409,13.483,4.672,2.824,2.16,3.362,9.964,3.571,6.412,2.62,2.502,13.498
50,3.695,3.699,3.207,8.144,5.221,13.066,8.544,5.608,27.762,2.989,13.766,5.964,12.678,4.633,13.264,3.788,1.919,2.026,3.199,9.714,3.431,7.356,3.092,3.066,13.12
51,3.248,3.578,3.563,7.855,4.681,10.764,11.149,6.004,26.233,3.059,13.936,6.163,12.816,4.849,12.931,3.422,1.648,2.065,2.88,9.359,3.583,8.055,3.418,3.71,12.734
52,2.78,3.493,4.293,7.166,4.037,9.148,13.337,6.097,22.527,3.332,14.467,6.029,13.179,4.984,12.736,3.669,1.836,2.228,2.529,9.063,4.18,8.317,3.507,4.329,12.501
53,2.546,3.469,5.282,6.335,3.548,8.527,14.35,5.964,17.852,3.702,15.336,5.524,13.835,5.061,12.828,4.502,2.253,2.401,2.248,8.918,5.172,8.114,3.383,4.805,12.464
54,2.74,3.533,6.443,5.614,3.356,8.688,13.84,5.773,14.224,4.118,16.34,4.793,14.689,5.249,13.148,5.831,2.733,2.578,2.085,8.901,6.368,7.567,3.216,5.077,12.528
55,3.4,3.693,7.59,5.204,3.45,8.989,12.027,5.667,12.365,4.518,17.177,4.271,15.523,5.649,13.475,7.442,3.221,2.823,2.019,8.916,7.469,6.84,3.169,5.149,12.548
56,4.356,3.91,8.416,5.09,3.736,8.753,9.506,5.688,12.548,4.815,17.586,4.419,16.078,6.238,13.584,8.913,3.615,3.172,1.995,8.905,7.995,5.983,3.273,5.073,12.442
57,5.269,4.117,8.731,5.0,4.154,7.847,6.999,5.772,13.587,4.962,17.466,5.467,16.161,6.896,13.405,9.775,3.779,3.59,1.973,8.893,7.842,5.042,3.428,4.925,12.237
58,5.803,4.261,8.316,4.701,4.712,6.649,4.988,5.782,14.317,5.007,16.902,7.27,15.739,7.435,13.06,9.642,3.613,3.952,1.94,8.965,6.985,4.132,3.535,4.765,12.064
59,5.769,4.366,7.327,4.051,5.473,5.713,3.681,5.623,14.102,5.084,16.089,9.288,14.941,7.639,12.774,8.479,3.132,4.085,1.919,9.186,5.803,3.459,3.563,4.625,12.055
60,5.217,4.506,6.017,3.198,6.486,5.413,3.006,5.327,12.564,5.338,15.27,10.841,14.031,7.427,12.736,6.544,2.466,3.885,1.949,9.532,4.654,3.205,3.558,4.537,12.263
61,4.414,4.758,4.786,2.406,7.743,5.64,2.686,5.04,10.549,5.832,14.68,11.406,13.328,6.893,12.999,4.442,1.825,3.377,2.07,9.891,3.754,3.42,3.597,4.523,12.653
62,3.659,5.181,3.969,1.962,9.109,6.041,2.496,4.942,8.854,6.498,14.482,10.796,13.079,6.282,13.492,2.7,1.395,2.719,2.304,10.147,3.192,3.897,3.704,4.57,13.127
63,3.147,5.729,3.616,1.991,10.314,6.164,2.371,5.134,8.536,7.071,14.782,9.201,13.394,5.767,14.117,1.606,1.263,2.118,2.637,10.28,2.787,4.325,3.835,4.63,13.607
64,2.895,6.284,3.659,2.427,11.03,5.805,2.317,5.599,9.799,7.246,15.68,7.135,14.263,5.393,14.795,1.147,1.391,1.718,3.019,10.357,2.603,4.536,3.939,4.706,14.083
65,2.795,6.685,3.888,3.076,11.018,4.973,2.327,6.201,12.12,6.808,17.257,5.188,15.612,5.091,15.463,1.133,1.662,1.543,3.364,10.511,2.604,4.582,3.963,4.836,14.65
66,2.691,6.803,4.186,3.692,10.226,3.875,2.333,6.726,14.908,5.791,19.428,3.753,17.277,4.725,16.06,1.372,1.95,1.503,3.58,10.845,2.889,4.619,3.877,5.039,15.428
67,2.545,6.646,4.524,4.072,8.828,2.824,2.327,7.0,17.235,4.581,21.86,2.897,19.026,4.204,16.524,1.842,2.209,1.481,3.611,11.361,3.478,4.76,3.692,5.284,16.425
68,2.415,6.287,4.97,4.174,7.146,2.137,2.337,6.925,18.501,3.773,24.018,2.508,20.621,3.595,16.805,2.66,2.468,1.445,3.462,11.955,4.164,5.003,3.492,5.514,17.497
69,2.413,5.796,5.528,4.124,5.536,2.082,2.447,6.465,18.823,3.772,25.337,2.453,21.876,3.017,16.876,3.805,2.792,1.426,3.186,12.467,4.851,5.363,3.334,5.664,18.406
70,2.588,5.245,6.057,4.098,4.269,2.656,2.758,5.713,18.908,4.566,25.486,2.592,22.667,2.624,16.774,5.13,3.195,1.513,2.871,12.764,5.263,5.871,3.307,5.685,18.92
71,2.887,4.66,6.342,4.234,3.447,3.679,3.359,4.794,19.413,5.75,24.518,2.806,22.941,2.52,16.599,6.369,3.649,1.771,2.572,12.795,5.386,6.489,3.507,5.512,18.902
72,3.16,4.041,6.22,4.572,3.02,4.764,4.157,3.853,20.797,6.742,22.88,2.993,22.759,2.787,16.471,7.222,4.073,2.222,2.292,12.586,5.239,7.214,4.078,5.11,18.355
73,3.24,3.398,5.687,5.061,2.83,5.559,4.967,3.082,23.349,7.088,21.243,3.096,22.326,3.341,16.483,7.513,4.412,2.809,2.01,12.206,4.983,8.125,5.041,4.511,17.423
74,3.02,2.786,4.882,5.559,2.719,5.819,5.566,2.644,27.168,6.674,20.188,3.11,21.934,4.013,16.655,7.255,4.623,3.373,1.711,11.756,4.686,9.28,6.173,3.791,16.362
75,2.543,2.276,4.004,5.891,2.621,5.448,5.812,2.591,31.849,5.676,20.01,3.032,21.875,4.595,16.954,6.611,4.671,3.727,1.406,11.359,4.362,10.728,7.143,3.052,15.478
76,1.991,1.91,3.239,5.946,2.535,4.621,5.731,2.827,36.365,4.444,20.661,2.88,22.354,4.88,17.316,5.787,4.563,3.76,1.145,11.13,4.036,12.307,7.73,2.405,15.051
77,1.583,1.708,2.681,5.784,2.471,3.777,5.465,3.159,39.74,3.326,21.831,2.72,23.39,4.768,17.693,4.966,4.325,3.482,0.974,11.163,3.721,13.608,7.952,1.922,15.248
78,1.434,1.658,2.311,5.626,2.476,3.396,5.253,3.447,41.894,2.533,23.137,2.623,24.792,4.536,18.116,4.264,3.973,3.004,0.92,11.503,3.49,14.157,7.977,1.644,16.074
79,1.519,1.733,2.042,5.709,2.604,3.788,5.417,3.74,44.182,2.121,24.299,2.663,26.255,4.8,18.709,3.678,3.558,2.484,0.99,12.142,3.391,13.631,7.99,1.59,17.4
80,1.721,1.877,1.797,6.111,2.863,4.819,6.131,4.185,48.065,2.035,25.182,2.845,27.474,6.096,19.62,3.136,3.185,2.065,1.179,13.034,3.419,12.066,8.05,1.745,19.036
81,1.909,2.013,1.56,6.737,3.203,5.917,7.253,4.891,54.331,2.195,25.721,3.12,28.215,8.468,20.916,2.614,2.947,1.829,1.475,14.089,3.644,9.841,8.04,2.05,20.771
82,2.002,2.067,1.359,7.413,3.517,7.088,8.375,5.807,61.588,2.596,25.926,3.393,28.423,11.318,22.541,2.19,2.886,1.844,1.865,15.192,4.095,7.536,7.772,2.423,22.406
83,2.036,2.001,1.237,7.884,3.68,8.18,9.027,6.689,66.581,3.252,25.907,3.582,28.227,13.633,24.31,2.024,2.99,2.212,2.306,16.254,4.809,5.783,7.12,2.795,23.855
84,2.072,1.846,1.176,7.928,3.601,9.495,8.877,7.204,65.908,4.093,25.815,3.629,27.842,14.475,25.908,2.166,3.205,3.006,2.727,17.185,5.681,4.997,6.15,3.117,25.111
85,2.143,1.68,1.182,7.483,3.286,10.876,7.879,7.088,58.379,4.995,25.774,3.668,27.414,13.432,27.031,2.61,3.428,4.15,3.043,17.889,6.66,5.182,5.102,3.371,26.183
86,2.226,1.562,1.24,6.639,2.828,12.147,6.304,6.349,45.57,5.813,25.849,3.928,26.973,10.872,27.558,3.271,3.494,5.398,3.194,18.312,7.551,5.873,4.232,3.56,27.054
87,2.273,1.535,1.411,5.607,2.358,12.941,4.579,5.291,31.604,6.384,26.091,4.564,26.48,7.729,27.618,4.064,3.305,6.386,3.179,18.478,8.166,6.488,3.638,3.701,27.689
88,2.245,1.645,1.657,4.581,2.005,12.851,3.143,4.32,21.321,6.554,26.529,5.565,25.906,4.992,27.51,4.911,2.899,6.778,3.052,18.497,8.377,6.66,3.256,3.819,28.106
89,2.133,1.904,1.92,3.711,1.856,11.742,2.299,3.72,17.726,6.236,27.099,6.683,25.254,3.253,27.505,5.697,2.417,6.441,2.886,18.499,8.08,6.352,2.957,3.932,28.359
90,1.991,2.309,2.102,3.05,1.946,9.814,2.178,3.553,20.451,5.462,27.66,7.532,24.558,2.536,27.667,6.279,2.044,5.494,2.797,18.54,7.301,5.674,2.655,4.115,28.48
91,1.875,2.929,2.141,2.569,2.322,7.638,2.649,3.7,26.348,4.379,28.064,7.77,23.912,2.42,27.816,6.547,1.913,4.244,2.924,18.573,6.298,4.815,2.319,4.505,28.459
92,1.789,3.881,2.032,2.294,3.066,5.847,3.415,3.995,31.855,3.197,28.217,7.295,23.391,2.393,27.659,6.376,2.054,3.038,3.334,18.481,5.384,3.96,1.954,5.168,28.195
93,1.714,5.199,1.851,2.279,4.253,4.844,4.235,4.386,34.97,2.139,28.114,6.247,23.024,2.204,27.006,5.789,2.395,2.135,3.978,18.168,4.88,3.215,1.584,6.078,27.564
94,1.62,6.753,1.732,2.548,5.811,4.589,5.031,4.934,35.572,1.426,27.89,4.935,22.897,1.866,25.935,4.945,2.801,1.645,4.69,17.657,4.834,2.607,1.249,7.095,26.59
95,1.505,8.351,1.78,3.126,7.622,4.711,5.632,5.682,34.237,1.203,27.742,3.696,23.122,1.456,24.759,4.202,3.112,1.546,5.282,17.102,5.159,2.086,1.014,8.055,25.573
96,1.375,9.852,2.042,4.025,9.499,4.783,5.904,6.596,31.982,1.474,27.767,2.822,23.723,1.104,23.843,3.811,3.229,1.767,5.644,16.683,5.57,1.6,0.981,8.809,24.934
97,1.261,11.193,2.402,5.108,11.164,4.565,5.812,7.504,29.646,2.09,27.849,2.507,24.59,0.957,23.389,3.938,3.169,2.255,5.802,16.504,5.726,1.164,1.22,9.244,24.944
98,1.208,12.467,2.726,6.136,12.269,4.159,5.431,8.255,27.427,2.793,27.748,2.753,25.496,1.101,23.327,4.433,3.069,2.918,5.989,16.544,5.43,0.861,1.666,9.378,25.545
99,1.227,13.763,2.851,6.832,12.592,3.637,4.895,8.756,24.976,3.33,27.242,3.399,26.186,1.515,23.348,4.971,3.114,3.632,6.483,16.647,4.616,0.773,2.21,9.32,26.329
100,1.328,15.008,2.715,6.989,12.051,3.209,4.349,9.038,21.578,3.545,26.282,4.141,26.456,2.094,23.148,5.228,3.428,4.223,7.384,16.637,3.603,0.922,2.66,9.165,26.753
101,1.493,15.906,2.367,6.601,10.72,2.926,3.822,9.166,17.716,3.436,25.054,4.671,26.251,2.697,22.579,5.034,3.968,4.525,8.53,16.395,2.556,1.255,2.86,9.019,26.424
102,1.697,16.14,1.938,5.838,8.885,2.785,3.325,9.165,13.752,3.147,23.941,4.799,25.695,3.204,21.681,4.438,4.56,4.456,9.552,15.903,1.727,1.683,2.726,8.892,25.288
103,1.892,15.6,1.61,4.925,7.007,2.742,2.961,9.026,10.355,2.844,23.242,4.442,24.982,3.521,20.618,3.65,4.999,4.073,10.077,15.229,1.183,2.094,2.323,8.735,23.629
104,2.035,14.412,1.489,4.104,5.503,2.68,2.735,8.75,7.546,2.681,22.938,3.71,24.267,3.594,19.54,2.95,5.157,3.576,9.934,14.47,0.898,2.444,1.864,8.57,21.913
105,2.141,12.939,1.564,3.581,4.66,2.658,2.648,8.334,5.741,2.784,22.799,2.923,23.706,3.422,18.604,2.567,5.004,3.207,9.239,13.752,0.832,2.773,1.621,8.474,20.611
106,2.239,11.769,1.823,3.442,4.631,2.7,2.704,7.858,4.545,3.184,22.577,2.46,23.468,3.084,18.0,2.609,4.63,3.145,8.334,13.227,0.87,3.137,1.749,8.487,20.051
107,2.326,11.5,2.166,3.659,5.577,2.942,2.842,7.608,4.093,3.778,22.064,2.612,23.604,2.681,17.812,3.023,4.16,3.387,7.642,12.95,1.166,3.554,2.198,8.767,20.237
108,2.402,12.582,2.562,4.098,7.692,3.348,2.997,8.165,3.956,4.351,21.155,3.413,23.927,2.273,17.923,3.658,3.714,3.778,7.573,12.842,1.475,3.959,2.76,9.671,20.808
109,2.483,15.189,2.938,4.618,11.069,3.933,3.145,10.142,4.115,4.7,19.869,4.595,23.988,1.901,18.001,4.357,3.337,4.075,8.367,12.702,1.861,4.234,3.196,11.573,21.209
110,2.635,19.079,3.193,5.147,15.496,4.443,3.276,13.72,4.42,4.73,18.222,5.729,23.194,1.612,17.566,4.972,3.042,4.121,9.98,12.257,2.134,4.337,3.355,14.535,20.845
111,2.943,23.733,3.268,5.654,20.633,4.781,3.359,18.508,4.76,4.467,16.217,6.465,21.157,1.432,16.2,5.374,2.794,3.876,12.162,11.305,2.306,4.347,3.208,18.337,19.317
112,3.427,28.629,3.137,6.096,25.978,4.914,3.378,23.798,5.309,4.096,13.943,6.936,17.945,1.408,13.842,5.473,2.606,3.443,14.6,9.867,2.428,4.425,2.915,22.592,16.665
113,4.014,33.284,2.89,6.4,30.963,4.891,3.335,28.777,6.43,3.856,11.587,7.546,14.082,1.652,10.906,5.285,2.522,3.135,16.963,8.216,2.582,4.677,2.824,26.776,13.388
114,4.537,37.361,2.66,6.51,35.222,5.0,3.211,32.775,8.422,3.908,9.396,8.708,10.343,2.313,8.088,4.892,2.571,3.339,18.917,6.714,2.935,5.055,3.318,30.296,10.196
115,4.793,40.709,2.584,6.397,38.638,5.556,2.992,35.502,11.156,4.243,7.602,10.526,7.392,3.428,6.04,4.368,2.79,4.264,20.225,5.639,3.356,5.386,4.595,32.681,7.684
116,4.738,43.306,2.8,6.094,41.211,6.836,2.72,37.085,14.244,4.954,6.245,12.639,5.462,4.935,5.043,3.831,3.147,5.829,20.851,5.036,3.665,5.497,6.509,33.759,6.068
117,4.435,45.213,3.338,5.688,42.932,8.842,2.477,37.921,16.288,6.403,5.293,14.605,4.439,6.819,4.977,3.393,3.531,7.672,20.955,4.769,3.734,5.327,8.63,33.739,5.219
118,4.044,46.532,4.115,5.221,43.758,11.264,2.441,38.409,16.667,8.875,4.624,16.09,3.99,9.012,5.423,3.143,3.858,9.308,20.815,4.615,3.551,4.985,10.39,33.112,4.785
119,3.759,47.29,4.984,4.706,43.624,13.687,2.839,38.692,14.903,12.269,4.075,16.844,3.732,11.366,5.888,3.101,4.072,10.288,20.698,4.379,3.335,4.718,11.362,32.472,4.382
120,3.666,47.422,5.658,4.201,42.54,15.221,3.864,38.608,12.49,15.958,3.592,17.004,3.494,13.78,6.06,3.264,4.142,10.423,20.709,3.993,3.374,4.763,11.371,32.194,3.843
121,3.701,46.882,6.204,3.88,40.745,15.794,5.52,37.885,10.197,18.96,3.219,16.824,3.331,16.078,5.877,3.766,4.064,9.868,20.798,3.51,3.787,5.219,10.586,32.344,3.251
122,3.715,45.717,6.697,3.841,38.723,15.143,7.58,36.358,9.509,20.429,2.979,16.507,3.263,17.985,5.384,4.596,3.849,9.003,20.849,2.998,4.519,6.017,9.42,32.746,2.722
123,3.507,44.027,7.292,3.997,36.941,13.669,9.66,34.126,10.382,19.911,2.892,16.154,3.248,19.149,4.741,5.652,3.561,8.244,20.781,2.544,5.425,6.918,8.348,33.13,2.377
124,2.981,41.978,8.014,4.135,35.622,11.614,11.312,31.55,11.981,17.774,2.945,15.874,3.234,19.246,4.14,6.71,3.256,7.762,20.631,2.217,5.968,7.622,7.614,33.381,2.3
125,2.289,39.811,8.763,4.073,34.734,9.484,12.154,29.153,13.195,15.153,3.043,15.942,3.197,18.195,3.704,7.533,2.961,7.442,20.555,2.032,6.219,7.869,7.242,33.627,2.476
126,1.886,37.717,9.345,3.876,34.083,7.605,12.047,27.452,12.984,13.48,3.097,16.766,3.154,16.32,3.452,7.903,2.765,7.093,20.724,1.969,5.723,7.642,7.274,34.202,2.834
127,2.406,35.939,9.584,3.801,33.525,6.149,11.202,26.743,11.379,13.958,3.083,18.528,3.136,14.352,3.339,7.769,2.814,6.679,21.237,1.992,5.038,7.101,7.737,35.406,3.266
128,4.268,34.605,9.416,4.115,33.133,5.015,10.092,26.891,9.253,16.995,3.048,20.936,3.172,13.101,3.292,7.152,3.2,6.38,22.006,2.048,4.07,6.484,8.711,37.179,3.632
129,7.54,33.942,8.878,4.975,33.221,4.041,9.135,27.583,7.003,22.237,3.074,23.387,3.291,13.181,3.243,6.256,3.912,6.484,22.932,2.091,3.189,6.022,10.169,39.217,3.821
130,11.881,34.285,8.228,6.597,34.15,3.103,8.578,28.696,5.399,28.391,3.243,24.988,3.52,14.66,3.193,5.238,4.798,7.225,24.112,2.103,2.578,5.822,12.01,41.228,3.785
131,16.641,35.979,7.593,9.099,36.01,2.456,8.474,30.391,4.338,33.68,3.594,25.084,3.872,17.037,3.204,4.198,5.654,8.552,25.845,2.092,2.208,5.836,13.974,43.142,3.568
132,21.174,39.15,7.211,12.464,38.51,2.289,8.724,32.925,3.749,36.593,4.075,23.674,4.332,19.402,3.34,3.247,6.309,9.973,28.43,2.086,2.127,6.074,15.583,45.083,3.273
133,24.721,43.584,6.943,16.216,41.164,2.808,9.008,36.33,3.529,36.039,4.551,21.07,4.834,20.639,3.601,2.487,6.696,10.83,31.879,2.117,2.342,6.664,16.345,47.174,3.003
