itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
77,9.408,1.175,2.331,14.558,0.833,5.126,1.477,0.351,0.726,1.58,0.358,1.659,0.494,0.833,0.256,5.526,20.395,3.046,0.919,0.315,6.006,8.969,1.38,1.38,0.286
78,7.683,1.065,2.171,11.851,0.776,3.66,1.411,0.322,0.582,1.375,0.373,1.894,0.542,0.853,0.256,5.34,17.569,2.655,0.784,0.334,5.122,7.933,1.147,1.325,0.295
79,6.514,1.065,2.22,9.792,0.818,2.852,1.308,0.307,0.539,1.422,0.414,2.351,0.638,0.911,0.259,5.993,15.402,2.338,0.802,0.361,4.586,6.979,1.2,1.418,0.34
80,6.059,1.165,2.382,8.812,0.94,2.613,1.187,0.31,0.569,1.627,0.473,2.873,0.756,0.964,0.269,6.779,13.549,2.069,0.92,0.384,4.351,6.113,1.469,1.58,0.411
81,6.311,1.291,2.536,9.042,1.079,2.67,1.059,0.326,0.63,1.843,0.531,3.262,0.856,0.975,0.285,7.186,11.908,1.796,1.044,0.395,4.243,5.256,1.781,1.69,0.482
82,7.178,1.349,2.638,10.329,1.165,2.883,0.932,0.342,0.682,1.944,0.566,3.346,0.897,0.937,0.303,7.119,10.823,1.523,1.1,0.392,4.166,4.337,1.945,1.658,0.53
83,8.676,1.297,2.699,12.556,1.168,3.171,0.825,0.346,0.689,1.909,0.561,3.082,0.864,0.87,0.316,6.741,10.594,1.304,1.059,0.384,4.088,3.498,1.881,1.479,0.541
84,10.878,1.167,2.755,15.615,1.114,3.503,0.753,0.338,0.656,1.775,0.519,2.561,0.77,0.797,0.32,6.361,11.33,1.194,0.943,0.386,4.033,3.001,1.63,1.226,0.519
85,13.628,1.035,2.817,19.191,1.06,3.764,0.71,0.326,0.599,1.616,0.457,1.931,0.649,0.731,0.313,6.21,12.908,1.254,0.806,0.413,4.033,3.049,1.303,1.011,0.486
86,16.396,0.978,2.895,22.669,1.06,3.864,0.676,0.328,0.56,1.501,0.4,1.353,0.539,0.679,0.298,6.378,14.962,1.501,0.712,0.471,4.182,3.674,1.019,0.91,0.462
87,18.372,1.016,2.979,25.123,1.126,3.738,0.644,0.36,0.556,1.432,0.366,0.94,0.466,0.639,0.284,6.75,16.927,1.873,0.696,0.551,4.56,4.721,0.842,0.928,0.462
88,18.782,1.112,2.989,25.635,1.225,3.365,0.618,0.427,0.596,1.354,0.358,0.697,0.434,0.603,0.276,7.164,18.284,2.262,0.75,0.629,5.12,5.861,0.774,1.002,0.482
89,17.279,1.184,2.947,23.769,1.292,2.851,0.6,0.524,0.676,1.223,0.366,0.575,0.429,0.565,0.274,7.402,18.71,2.575,0.829,0.68,5.764,6.718,0.794,1.04,0.508
90,14.187,1.164,2.83,19.87,1.272,2.345,0.612,0.637,0.799,1.042,0.376,0.525,0.429,0.532,0.277,7.353,18.114,2.762,0.883,0.682,6.331,7.035,0.879,0.977,0.52
91,10.358,1.043,2.705,14.997,1.158,1.981,0.686,0.746,0.97,0.881,0.379,0.535,0.421,0.511,0.28,7.125,16.764,2.836,0.891,0.631,6.59,6.785,1.02,0.822,0.506
92,6.829,0.863,2.613,10.498,0.987,1.839,0.843,0.827,1.164,0.819,0.378,0.613,0.406,0.5,0.279,6.957,15.324,2.856,0.858,0.542,6.493,6.154,1.215,0.635,0.468
93,4.345,0.679,2.609,7.327,0.807,2.01,1.104,0.861,1.363,0.87,0.376,0.736,0.383,0.5,0.273,7.03,14.505,2.872,0.805,0.439,6.012,5.395,1.408,0.476,0.415
94,3.099,0.537,2.782,5.708,0.657,2.616,1.457,0.84,1.558,1.003,0.378,0.879,0.359,0.516,0.262,7.348,14.696,2.86,0.765,0.349,5.426,4.696,1.538,0.398,0.364
95,2.8,0.46,3.173,5.24,0.569,3.656,1.847,0.773,1.739,1.173,0.38,1.06,0.339,0.539,0.25,7.751,15.742,2.821,0.776,0.29,4.994,4.147,1.687,0.447,0.327
96,2.953,0.457,3.868,5.201,0.569,5.057,2.201,0.681,1.93,1.337,0.378,1.306,0.335,0.555,0.238,7.973,17.028,2.79,0.894,0.263,5.038,3.781,2.001,0.651,0.314
97,3.286,0.527,4.967,5.192,0.663,6.686,2.439,0.588,2.151,1.464,0.367,1.648,0.353,0.553,0.228,7.803,17.889,2.871,1.145,0.259,5.69,3.606,2.564,0.997,0.32
98,3.931,0.658,6.534,5.366,0.834,8.436,2.535,0.519,2.403,1.584,0.35,2.096,0.39,0.536,0.219,7.266,17.886,3.124,1.493,0.267,6.815,3.626,3.323,1.422,0.335
